,"fixed acidity;""volatile acidity"";""citric acid"";""residual sugar"";""chlorides"";""free sulfur dioxide"";""total sulfur dioxide"";""density"";""pH"";""sulphates"";""alcohol"";""quality"""
8470,5.1;0.33;0.22;1.6;0.027;18;89;0.9893;3.51;0.38;12.5;7
8471,5.1;0.33;0.22;1.6;0.027;18;89;0.9893;3.51;0.38;12.5;7
8472,6.4;0.31;0.28;1.5;0.037;12;119;0.9919;3.32;0.51;10.4;7
8473,7.3;0.2;0.44;1.4;0.045;21;98;0.9924;3.15;0.46;10;7
8474,5.7;0.32;0.5;2.6;0.049;17;155;0.9927;3.22;0.64;10;6
8475,6.4;0.31;0.28;1.5;0.037;12;119;0.9919;3.32;0.51;10.4;7
8476,7.3;0.2;0.44;1.4;0.045;21;98;0.9924;3.15;0.46;10;7
8477,7.2;0.28;0.26;12.5;0.046;48;179;0.9975;3.1;0.52;9;6
8478,7.5;0.35;0.28;9.6;0.051;26;157;0.9969;3.12;0.53;9.2;6
8479,7.2;0.27;0.27;2.4;0.048;30;149;0.9936;3.1;0.51;9.2;6
8480,6;0.36;0.39;3.2;0.027;20;125;0.991;3.38;0.39;11.3;7
8481,5.1;0.33;0.22;1.6;0.027;18;89;0.9893;3.51;0.38;12.5;7
8482,5;0.17;0.56;1.5;0.026;24;115;0.9906;3.48;0.39;10.8;7
8483,6.3;0.39;0.35;5.9;0.04;82.5;260;0.9941;3.12;0.66;10.1;5
8484,6.7;0.21;0.32;5.4;0.047;29;140;0.995;3.39;0.46;9.7;6
8485,7;0.3;0.38;14.9;0.032;60;181;0.9983;3.18;0.61;9.3;7
8486,7;0.3;0.38;14.9;0.032;60;181;0.9983;3.18;0.61;9.3;7
8487,6.5;0.36;0.32;1.1;0.031;13;66;0.9916;3.1;0.46;10.6;5
8488,6.1;0.55;0.15;9.8;0.031;19;125;0.9957;3.36;0.47;10.2;6
8489,7.3;0.24;0.43;2;0.021;20;69;0.99;3.08;0.56;12.2;6
8490,6.8;0.37;0.51;11.8;0.044;62;163;0.9976;3.19;0.44;8.8;5
8491,6.8;0.27;0.12;1.3;0.04;87;168;0.992;3.18;0.41;10;5
8492,8.2;0.28;0.42;1.8;0.031;30;93;0.9917;3.09;0.39;11.4;5
8493,6.3;0.2;0.4;1.5;0.037;35;107;0.9917;3.46;0.5;11.4;6
8494,5.9;0.26;0.27;18.2;0.048;52;168;0.9993;3.35;0.44;9.4;5
8495,6.4;0.19;0.42;2.9;0.032;32;83;0.9908;3.3;0.41;11.7;6
8496,6.3;0.2;0.4;1.5;0.037;35;107;0.9917;3.46;0.5;11.4;6
8497,6.8;0.37;0.51;11.8;0.044;62;163;0.9976;3.19;0.44;8.8;5
8498,6.1;0.35;0.07;1.4;0.069;22;108;0.9934;3.23;0.52;9.2;5
8499,7.1;0.27;0.31;18.2;0.046;55;252;1;3.07;0.56;8.7;5
8500,6.8;0.22;0.31;6.3;0.035;33;170;0.9918;3.24;0.66;12.6;6
8501,6.8;0.27;0.12;1.3;0.04;87;168;0.992;3.18;0.41;10;5
8502,5.8;0.28;0.34;4;0.031;40;99;0.9896;3.39;0.39;12.8;7
8503,6.9;0.49;0.24;1.2;0.049;13;125;0.9932;3.17;0.51;9.4;5
8504,6.3;0.14;0.39;1.2;0.044;26;116;0.992;3.26;0.53;10.3;6
8505,8.2;0.28;0.42;1.8;0.031;30;93;0.9917;3.09;0.39;11.4;5
8506,7.2;0.25;0.39;18.95;0.038;42;155;0.9999;2.97;0.47;9;6
8507,7.3;0.28;0.36;12.7;0.04;38;140;0.998;3.3;0.79;9.6;6
8508,7.2;0.19;0.39;1.2;0.036;32;85;0.9918;3.16;0.5;10.5;5
8509,7.2;0.19;0.39;1.2;0.036;32;85;0.9918;3.16;0.5;10.5;5
8510,7.2;0.25;0.39;18.95;0.038;42;155;0.9999;2.97;0.47;9;6
8511,7.3;0.28;0.36;12.7;0.04;38;140;0.998;3.3;0.79;9.6;6
8512,7.4;0.21;0.27;1.2;0.041;27;99;0.9927;3.19;0.33;9.8;6
8513,6.8;0.26;0.22;7.7;0.047;57;210;0.9959;3.1;0.47;9;5
8514,7.4;0.21;0.27;1.2;0.041;27;99;0.9927;3.19;0.33;9.8;6
8515,7.4;0.31;0.28;1.6;0.05;33;137;0.9929;3.31;0.56;10.5;6
8516,7;0.22;0.31;2.7;0.03;41;136;0.9898;3.16;0.37;12.7;7
8517,7;0.21;0.28;8.7;0.045;37;222;0.9954;3.25;0.54;10.4;6
8518,7;0.21;0.28;8.6;0.045;37;221;0.9954;3.25;0.54;10.4;6
8519,7;0.21;0.28;8.6;0.045;37;221;0.9954;3.25;0.54;10.4;6
8520,6.9;0.23;0.38;8.3;0.047;47;162;0.9954;3.34;0.52;10.5;7
8521,7;0.21;0.28;8.7;0.045;37;222;0.9954;3.25;0.54;10.4;6
8522,7;0.21;0.28;8.6;0.045;37;221;0.9954;3.25;0.54;10.4;6
8523,6.8;0.29;0.5;13.3;0.053;48;194;0.9974;3.09;0.45;9.4;5
8524,7.8;0.21;0.27;1.2;0.051;20;89;0.9936;3.06;0.46;9.1;5
8525,7.1;0.31;0.47;13.6;0.056;54;197;0.9978;3.1;0.49;9.3;5
8526,6.8;0.29;0.5;13.3;0.053;48;194;0.9974;3.09;0.45;9.4;5
8527,6.4;0.34;0.1;1.1;0.048;19;84;0.9927;3.21;0.38;9.8;5
8528,7.4;0.155;0.34;2.3;0.045;73.5;214;0.9934;3.18;0.61;9.9;7
8529,7.2;0.55;0.09;1.5;0.108;16;151;0.9938;3.07;0.57;9.2;4
8530,7;0.23;0.36;7.1;0.028;31;104;0.9922;3.35;0.47;12.1;8
8531,6.9;0.2;0.37;6.2;0.027;24;97;0.992;3.38;0.49;12.2;7
8532,6.1;0.28;0.32;2.5;0.042;23;218.5;0.9935;3.27;0.6;9.8;5
8533,6.6;0.16;0.32;1.4;0.035;49;186;0.9906;3.35;0.64;12.4;8
8534,7.4;0.155;0.34;2.3;0.045;73.5;214;0.9934;3.18;0.61;9.9;7
8535,6.2;0.35;0.04;1.2;0.06;23;108;0.9934;3.26;0.54;9.2;5
8536,6.7;0.22;0.37;1.6;0.028;24;102;0.9913;3.29;0.59;11.6;7
8537,6.1;0.38;0.2;6.6;0.033;25;137;0.9938;3.3;0.69;10.4;6
8538,6;0.25;0.28;2.2;0.026;54;126;0.9898;3.43;0.65;12.9;8
8539,6.6;0.52;0.44;12.2;0.048;54;245;0.9975;3.26;0.54;9.3;6
8540,6.9;0.24;0.36;20.8;0.031;40;139;0.9975;3.2;0.33;11;6
8541,7.1;0.32;0.32;11;0.038;16;66;0.9937;3.24;0.4;11.5;3
8542,5.8;0.28;0.27;2.6;0.054;30;156;0.9914;3.53;0.42;12.4;5
8543,6.5;0.41;0.24;14;0.048;24;113;0.9982;3.44;0.53;9.8;6
8544,6.5;0.41;0.24;14;0.048;24;113;0.9982;3.44;0.53;9.8;6
8545,6.4;0.28;0.29;1.6;0.052;34;127;0.9929;3.48;0.56;10.5;7
8546,7.2;0.6;0.2;9.9;0.07;21;174;0.9971;3.03;0.54;9.1;5
8547,6.1;0.2;0.25;1.2;0.038;34;128;0.9921;3.24;0.44;10.1;5
8548,5.9;0.46;0.14;2.7;0.042;27;160;0.9931;3.46;0.51;10.6;7
8549,6;0.27;0.27;1.6;0.046;32;113;0.9924;3.41;0.51;10.5;7
8550,6.4;0.28;0.29;1.6;0.052;34;127;0.9929;3.48;0.56;10.5;7
8551,6.4;0.41;0.24;14;0.048;24;113;0.9982;3.44;0.53;9.8;6
8552,6.3;0.23;0.31;1.5;0.022;11;82;0.9892;3.3;0.4;12.9;7
8553,7.1;0.21;0.27;8.6;0.056;26;111;0.9956;2.95;0.52;9.5;5
8554,6;0.37;0.32;1;0.053;31;218.5;0.9924;3.29;0.72;9.8;6
8555,6.1;0.43;0.35;9.1;0.059;83;249;0.9971;3.37;0.5;8.5;5
8556,7.1;0.21;0.27;8.6;0.056;26;111;0.9956;2.95;0.52;9.5;5
8557,7;0.25;0.29;15.2;0.047;40;171;0.9982;3.22;0.45;9.3;5
8558,5.9;0.25;0.19;12.4;0.047;50;162;0.9973;3.35;0.38;9.5;5
8559,6.8;0.32;0.21;2.2;0.044;15;68;0.9932;3.17;0.39;9.4;6
8560,7.2;0.39;0.62;11;0.047;66;178;0.9976;3.16;0.5;8.7;5
8561,6.3;0.21;0.58;10;0.081;34;126;0.9962;2.95;0.46;8.9;5
8562,7;0.14;0.32;9;0.039;54;141;0.9956;3.22;0.43;9.4;6
8563,6.8;0.32;0.21;2.2;0.044;15;68;0.9932;3.17;0.39;9.4;6
8564,7.2;0.39;0.62;11;0.047;66;178;0.9976;3.16;0.5;8.7;5
8565,7.2;0.29;0.53;18.15;0.047;59;182;0.9992;3.09;0.52;9.6;5
8566,8.6;0.37;0.7;12.15;0.039;21;158;0.9983;3;0.73;9.3;6
8567,6.5;0.38;0.34;3.4;0.036;34;200;0.9937;3.14;0.76;10;5
8568,6.6;0.24;0.29;2;0.023;19;86;0.99;3.25;0.45;12.5;6
8569,7;0.17;0.31;4.8;0.034;34;132;0.9944;3.36;0.48;9.6;7
8570,5.5;0.16;0.22;4.5;0.03;30;102;0.9938;3.24;0.36;9.4;6
8571,7;0.24;0.51;11;0.029;55;227;0.9965;3.03;0.61;9.5;5
8572,7.4;0.28;0.36;1.1;0.028;42;105;0.9893;2.99;0.39;12.4;7
8573,7;0.22;0.28;1.5;0.037;29;115;0.9927;3.11;0.55;10.5;6
8574,7.1;0.55;0.13;1.7;0.073;21;165;0.994;2.97;0.58;9.2;6
8575,6.3;0.22;0.33;1.7;0.041;67;164;0.9928;3.32;0.56;10.4;6
8576,6.7;0.47;0.34;8.9;0.043;31;172;0.9964;3.22;0.6;9.2;5
8577,5.9;0.36;0.41;1.3;0.047;45;104;0.9917;3.33;0.51;10.6;6
8578,5.8;0.25;0.24;13.3;0.044;41;137;0.9972;3.34;0.42;9.5;5
8579,6.7;0.47;0.34;8.9;0.043;31;172;0.9964;3.22;0.6;9.2;5
8580,6.2;0.37;0.3;6.6;0.346;79;200;0.9954;3.29;0.58;9.6;5
8581,6.2;0.18;0.38;1.5;0.028;36;117;0.993;3.47;0.54;9.7;6
8582,6;0.16;0.37;1.5;0.025;43;117;0.9928;3.46;0.51;9.7;6
8583,6.6;0.34;0.28;1.3;0.035;32;90;0.9916;3.1;0.42;10.7;6
8584,7.4;0.29;0.29;1.6;0.045;53;180;0.9936;3.34;0.68;10.5;6
8585,7.4;0.26;0.31;7.6;0.047;52;177;0.9962;3.13;0.45;8.9;6
8586,7;0.28;0.36;1;0.035;8;70;0.9899;3.09;0.46;12.1;6
8587,7.1;0.23;0.39;1.6;0.032;12;65;0.9898;3.25;0.4;12.7;7
8588,7.8;0.19;0.26;8.9;0.039;42;182;0.996;3.18;0.46;9.9;6
8589,6.3;0.19;0.28;1.8;0.022;28;158;0.9907;3.2;0.64;11.4;6
8590,6.8;0.2;0.38;4.7;0.04;27;103;0.994;3.37;0.58;10.7;6
8591,5.7;0.44;0.13;7;0.025;28;173;0.9913;3.33;0.48;12.5;6
8592,7.2;0.4;0.62;10.8;0.041;70;189;0.9976;3.08;0.49;8.6;4
8593,6.8;0.23;0.32;1.6;0.026;43;147;0.9904;3.29;0.54;12.5;6
8594,5.7;0.335;0.34;1;0.04;13;174;0.992;3.27;0.66;10;5
8595,7.2;0.4;0.62;10.8;0.041;70;189;0.9976;3.08;0.49;8.6;4
8596,7.2;0.28;0.54;16.7;0.045;54;200;0.999;3.08;0.49;9.5;6
8597,6.8;0.19;0.58;14.2;0.038;51;164;0.9975;3.12;0.48;9.6;6
8598,6.4;0.3;0.3;2.25;0.038;8;210;0.9937;3.2;0.62;9.9;6
8599,6.5;0.3;0.29;2.25;0.037;8;210;0.9937;3.19;0.62;9.9;5
8600,7.8;0.18;0.31;12.2;0.053;46;140;0.998;3.06;0.53;8.9;6
8601,7.8;0.18;0.31;12.2;0.053;46;140;0.998;3.06;0.53;8.9;6
8602,7.3;0.51;0.26;3.3;0.09;7;135;0.9944;3.01;0.52;8.8;5
8603,6;0.24;0.27;1.9;0.048;40;170;0.9938;3.64;0.54;10;7
8604,5.9;0.62;0.28;3.5;0.039;55;152;0.9907;3.44;0.44;12;6
8605,6;0.24;0.27;1.9;0.048;40;170;0.9938;3.64;0.54;10;7
8606,6.7;0.27;0.12;1.3;0.041;62;138;0.9921;3.21;0.42;10;6
8607,7.8;0.34;0.35;1.8;0.042;8;167;0.9908;3.11;0.41;12.1;6
8608,7.3;0.26;0.36;5.2;0.04;31;141;0.9931;3.16;0.59;11;6
8609,7.4;0.36;0.33;1.4;0.025;27;55;0.9915;3.21;0.33;11.2;6
8610,7.8;0.28;0.32;9;0.036;34;115;0.9952;3.17;0.39;10.3;7
8611,6.1;0.31;0.26;2.2;0.051;28;167;0.9926;3.37;0.47;10.4;6
8612,6.8;0.18;0.37;1.6;0.055;47;154;0.9934;3.08;0.45;9.1;5
8613,7.4;0.15;0.42;1.7;0.045;49;154;0.992;3;0.6;10.4;6
8614,5.9;0.13;0.28;1.9;0.05;20;78;0.9918;3.43;0.64;10.8;6
8615,7.2;0.34;0.34;12.6;0.048;7;41;0.9942;3.19;0.4;11.7;5
8616,7.9;0.19;0.26;2.1;0.039;8;143;0.9942;3.05;0.74;9.8;5
8617,7.9;0.19;0.26;2.1;0.039;8;143;0.9942;3.05;0.74;9.8;5
8618,6.9;0.25;0.4;1.3;0.038;22;101;0.9901;3.03;0.39;11.4;6
8619,5.8;0.36;0.32;1.7;0.033;22;96;0.9898;3.03;0.38;11.2;6
8620,5.6;0.35;0.37;1;0.038;6;72;0.9902;3.37;0.34;11.4;5
8621,5.9;0.32;0.39;3.3;0.114;24;140;0.9934;3.09;0.45;9.2;6
8622,7.2;0.31;0.46;5;0.04;3;29;0.9906;3.04;0.53;12.5;4
8623,6.1;0.28;0.22;1.8;0.034;32;116;0.9898;3.36;0.44;12.6;6
8624,5.2;0.36;0.02;1.6;0.031;24;104;0.9896;3.44;0.35;12.2;6
8625,5.6;0.19;0.47;4.5;0.03;19;112;0.9922;3.56;0.45;11.2;6
8626,6.4;0.1;0.35;4.9;0.048;31;103;0.9947;3.43;0.79;9.7;6
8627,6.4;0.18;0.48;4;0.186;64;150;0.9945;3.06;0.4;9.3;5
8628,7.4;0.25;0.36;13.2;0.067;53;178;0.9976;3.01;0.48;9;6
8629,7.4;0.25;0.36;13.2;0.067;53;178;0.9976;3.01;0.48;9;6
8630,7.4;0.25;0.36;13.2;0.067;53;178;0.9976;3.01;0.48;9;6
8631,7.9;0.345;0.51;15.3;0.047;54;171;0.9987;3.09;0.51;9.1;5
8632,7.9;0.345;0.51;15.3;0.047;54;171;0.9987;3.09;0.51;9.1;5
8633,7.4;0.25;0.36;13.2;0.067;53;178;0.9976;3.01;0.48;9;6
8634,6.1;0.24;0.3;1.5;0.045;22;61;0.992;3.31;0.54;10.4;5
8635,6.8;0.25;0.24;4.55;0.053;41;211;0.9955;3.37;0.67;9.5;6
8636,6.7;0.31;0.31;9.9;0.04;10;175;0.9953;3.46;0.55;11.4;4
8637,7.2;0.46;0.65;10.4;0.05;76;192;0.9976;3.16;0.42;8.7;5
8638,5.5;0.35;0.35;1.1;0.045;14;167;0.992;3.34;0.68;9.9;6
8639,6.7;0.24;0.41;8.7;0.036;29;148;0.9952;3.22;0.62;9.9;6
8640,6.8;0.28;0.17;13.9;0.047;49;162;0.9983;3.21;0.51;9;6
8641,6.4;0.16;0.22;1.4;0.04;41;149;0.9933;3.49;0.58;10;6
8642,6.3;0.26;0.24;7.2;0.039;38;172;0.9958;3.49;0.64;9.7;6
8643,7.7;0.22;0.42;1.9;0.052;10;87;0.9922;3.3;0.49;11.8;6
8644,6.5;0.18;0.31;1.7;0.044;30;127;0.9928;3.49;0.5;10.2;7
8645,7.2;0.46;0.65;10.4;0.05;76;192;0.9976;3.16;0.42;8.7;5
8646,7;0.3;0.51;13.6;0.05;40;168;0.9976;3.07;0.52;9.6;7
8647,9.2;0.25;0.34;1.2;0.026;31;93;0.9916;2.93;0.37;11.3;7
8648,7.8;0.28;0.34;1.6;0.028;32;118;0.9901;3;0.38;12.1;7
8649,7;0.3;0.51;13.6;0.05;40;168;0.9976;3.07;0.52;9.6;7
8650,7.8;0.28;0.34;1.6;0.028;32;118;0.9901;3;0.38;12.1;7
8651,9.2;0.25;0.34;1.2;0.026;31;93;0.9916;2.93;0.37;11.3;7
8652,8.4;0.35;0.71;12.2;0.046;22;160;0.9982;2.98;0.65;9.4;5
8653,6.1;0.41;0.24;1.6;0.049;16;137;0.993;3.32;0.5;10.4;6
8654,5.9;0.21;0.24;12.1;0.044;53;165;0.9969;3.25;0.39;9.5;5
8655,7.2;0.34;0.44;4.2;0.047;51;144;0.991;3.01;0.76;12.3;6
8656,6.7;0.21;0.42;9.1;0.049;31;150;0.9953;3.12;0.74;9.9;7
8657,5.9;0.37;0.1;1.6;0.057;39;128;0.9924;3.24;0.48;10.1;5
8658,7.7;0.34;0.27;8.8;0.063;39;184;0.9969;3.09;0.63;9.2;6
8659,7.4;0.3;0.22;1.4;0.046;16;135;0.9928;3.08;0.77;10.4;7
8660,6.8;0.51;0.3;4.2;0.066;38;165;0.9945;3.2;0.42;9.1;5
8661,7.8;0.22;0.38;10.3;0.059;28;99;0.9967;3.12;0.47;10;6
8662,7.2;0.35;0.34;12.4;0.051;6;37;0.9944;3.13;0.39;11.5;6
8663,6;0.26;0.5;2.2;0.048;59;153;0.9928;3.08;0.61;9.8;5
8664,6.1;0.26;0.51;2.2;0.05;61;154;0.9929;3.08;0.6;9.8;6
8665,6.5;0.28;0.27;5.2;0.04;44;179;0.9948;3.19;0.69;9.4;6
8666,7.4;0.41;0.66;10.8;0.051;77;194;0.9976;3.05;0.46;8.7;5
8667,6.5;0.28;0.29;2.7;0.038;26;107;0.9912;3.32;0.41;11.6;7
8668,6.7;0.34;0.54;16.3;0.047;44;181;0.9987;3.04;0.56;8.8;5
8669,7.2;0.2;0.34;2.7;0.032;49;151;0.99;3.16;0.39;12.7;7
8670,7.4;0.2;0.33;1.9;0.035;39;138;0.991;3.17;0.44;11.7;7
8671,8.2;0.22;0.3;1.8;0.047;47;185;0.9933;3.13;0.5;10.2;6
8672,8.2;0.23;0.29;1.8;0.047;47;187;0.9933;3.13;0.5;10.2;6
8673,7.1;0.22;0.33;2.8;0.033;48;153;0.9899;3.15;0.38;12.7;7
8674,6.5;0.28;0.29;2.7;0.038;26;107;0.9912;3.32;0.41;11.6;7
8675,6;0.38;0.26;6;0.034;42;134;0.9912;3.38;0.38;12.3;7
8676,7.4;0.41;0.66;10.8;0.051;77;194;0.9976;3.05;0.46;8.7;5
8677,5.7;0.18;0.22;4.2;0.042;25;111;0.994;3.35;0.39;9.4;5
8678,7.3;0.3;0.22;6.4;0.056;44;168;0.9947;3.13;0.35;10.1;6
8679,7.4;0.24;0.22;10.7;0.042;26;81;0.9954;2.86;0.36;9.7;6
8680,6.6;0.25;0.3;1.6;0.046;32;134;0.993;3.42;0.51;10.1;7
8681,7.4;0.24;0.22;10.7;0.042;26;81;0.9954;2.86;0.36;9.7;6
8682,7.4;0.26;0.3;7.9;0.049;38;157;0.9963;3.13;0.48;8.9;6
8683,6.1;0.32;0.25;1.7;0.034;37;136;0.992;3.47;0.5;10.8;7
8684,6.9;0.28;0.27;2.1;0.036;42;121;0.9926;3.42;0.49;10.8;7
8685,7;0.23;0.33;5.8;0.04;25;136;0.995;3.19;0.58;9.5;6
8686,7.1;0.31;0.5;14.5;0.059;6;148;0.9983;2.94;0.44;9.1;5
8687,7.3;0.2;0.37;1.2;0.037;48;119;0.992;3.32;0.49;10.9;6
8688,6.9;0.41;0.33;10.1;0.043;28;152;0.9968;3.2;0.52;9.4;5
8689,6.4;0.45;0.07;1.1;0.03;10;131;0.9905;2.97;0.28;10.8;5
8690,6.4;0.475;0.06;1;0.03;9;131;0.9904;2.97;0.29;10.8;5
8691,6.3;0.27;0.38;0.9;0.051;7;140;0.9926;3.45;0.5;10.5;7
8692,6.9;0.41;0.33;10.1;0.043;28;152;0.9968;3.2;0.52;9.4;5
8693,7;0.29;0.37;4.9;0.034;26;127;0.9928;3.17;0.44;10.8;6
8694,5.9;0.27;0.29;11.4;0.036;31;115;0.9949;3.35;0.48;10.5;8
8695,6.9;0.19;0.4;1.4;0.036;14;55;0.9909;3.08;0.68;11.5;7
8696,6.7;0.3;0.35;1.4;0.18;36;160;0.9937;3.11;0.54;9.4;6
8697,7.2;0.24;0.4;1.4;0.045;31;106;0.9914;2.88;0.38;10.8;6
8698,6.4;0.45;0.07;1.1;0.03;10;131;0.9905;2.97;0.28;10.8;5
8699,6.4;0.475;0.06;1;0.03;9;131;0.9904;2.97;0.29;10.8;5
8700,6.3;0.26;0.49;1.5;0.052;34;134;0.9924;2.99;0.61;9.8;6
8701,6.3;0.26;0.49;1.5;0.052;34;134;0.9924;2.99;0.61;9.8;6
8702,7.3;0.25;0.29;7.5;0.049;38;158;0.9965;3.43;0.38;9.6;5
8703,7.3;0.25;0.29;7.5;0.049;38;158;0.9965;3.43;0.38;9.6;5
8704,6.1;0.28;0.25;17.75;0.044;48;161;0.9993;3.34;0.48;9.5;5
8705,7.4;0.37;0.35;5.7;0.061;12;94;0.9965;3.48;0.69;10.7;6
8706,6.5;0.36;0.28;3.2;0.037;29;119;0.9908;3.25;0.65;12.4;8
8707,7.4;0.24;0.4;4.3;0.032;9;95;0.992;3.09;0.39;11.1;6
8708,7.5;0.23;0.68;11;0.047;37;133;0.9978;2.99;0.38;8.8;5
8709,7.5;0.21;0.68;10.9;0.045;38;133;0.9978;3;0.36;8.7;5
8710,7.5;0.21;0.68;10.9;0.045;38;133;0.9978;3;0.36;8.7;5
8711,7.5;0.23;0.68;11;0.047;37;133;0.9978;2.99;0.38;8.8;5
8712,7.8;0.32;0.33;2.4;0.037;18;101;0.9912;3.21;0.65;11.7;7
8713,7.8;0.26;0.27;1.9;0.051;52;195;0.9928;3.23;0.5;10.9;6
8714,7.7;0.24;0.27;1.8;0.051;52;190;0.9928;3.23;0.5;10.8;6
8715,7.4;0.19;0.3;1.4;0.057;33;135;0.993;3.12;0.5;9.6;6
8716,6.5;0.46;0.41;16.8;0.084;59;222;0.9993;3.18;0.58;9;5
8717,6.5;0.26;0.43;8.9;0.083;50;171;0.9965;2.85;0.5;9;5
8718,5.3;0.32;0.12;6.6;0.043;22;141;0.9937;3.36;0.6;10.4;6
8719,7.2;0.24;0.34;1.1;0.045;3;64;0.9913;3.23;0.51;11.4;5
8720,6;0.36;0.06;1.4;0.066;27;128;0.9934;3.26;0.55;9.3;5
8721,6.2;0.24;0.29;13.3;0.039;49;130;0.9952;3.33;0.46;11;8
8722,7.6;0.56;0.12;10.4;0.096;22;177;0.9983;3.32;0.45;9.1;4
8723,7;0.32;0.24;6.2;0.048;31;228;0.9957;3.23;0.62;9.4;6
8724,7;0.32;0.24;6.2;0.048;31;228;0.9957;3.23;0.62;9.4;6
8725,5.8;0.31;0.33;1.2;0.036;23;99;0.9916;3.18;0.6;10.5;6
8726,7;0.23;0.42;18.05;0.05;35;144;0.9999;3.22;0.42;8.8;5
8727,7;0.23;0.42;18.05;0.05;35;144;0.9999;3.22;0.42;8.8;5
8728,6.9;0.24;0.33;4.8;0.04;16;131;0.9936;3.26;0.64;10.7;6
8729,6;0.29;0.2;12.6;0.045;45;187;0.9972;3.33;0.42;9.5;5
8730,6.1;0.17;0.28;4.5;0.033;46;150;0.9933;3.43;0.49;10.9;6
8731,5.9;0.14;0.25;4.5;0.027;34;140;0.9934;3.49;0.51;10.8;6
8732,6.2;0.17;0.28;4.7;0.037;39;133;0.9931;3.41;0.46;10.8;7
8733,7.4;0.28;0.25;11.9;0.053;25;148;0.9976;3.1;0.62;9.2;5
8734,5.6;0.35;0.14;5;0.046;48;198;0.9937;3.3;0.71;10.3;5
8735,5.8;0.335;0.14;5.8;0.046;49;197;0.9937;3.3;0.71;10.3;5
8736,5.6;0.235;0.29;1.2;0.047;33;127;0.991;3.34;0.5;11;7
8737,6.1;0.28;0.25;12.9;0.054;34;189;0.9979;3.25;0.43;9;4
8738,6.3;0.21;0.33;13.9;0.046;68;179;0.9971;3.36;0.5;10.4;6
8739,6.4;0.24;0.28;11.5;0.05;34;163;0.9969;3.31;0.45;9.5;5
8740,6.4;0.24;0.29;11.4;0.051;32;166;0.9968;3.31;0.45;9.5;5
8741,6.3;0.26;0.25;7.8;0.058;44;166;0.9961;3.24;0.41;9;5
8742,6.5;0.33;0.72;1.1;0.061;7;151;0.993;3.09;0.57;9.5;4
8743,7.4;0.105;0.34;12.2;0.05;57;146;0.9973;3.16;0.37;9;6
8744,6;0.32;0.12;5.9;0.041;34;190;0.9944;3.16;0.72;10;5
8745,7.1;0.26;0.34;14.4;0.067;35;189;0.9986;3.07;0.53;9.1;7
8746,7.1;0.26;0.34;14.4;0.067;35;189;0.9986;3.07;0.53;9.1;7
8747,7.1;0.26;0.34;14.4;0.067;35;189;0.9986;3.07;0.53;9.1;7
8748,7.1;0.26;0.34;14.4;0.067;35;189;0.9986;3.07;0.53;9.1;7
8749,5.9;0.24;0.26;12.3;0.053;34;134;0.9972;3.34;0.45;9.5;6
8750,6.5;0.21;0.37;2.5;0.048;70;138;0.9917;3.33;0.75;11.4;7
8751,7.7;0.27;0.35;5.3;0.03;30;117;0.992;3.11;0.42;12.2;6
8752,9;0.27;0.35;4.9;0.028;27;95;0.9932;3.04;0.4;11.3;6
8753,7.3;0.34;0.21;3.2;0.05;14;136;0.9936;3.25;0.44;10.2;5
8754,6.6;0.27;0.25;3.1;0.052;41;188;0.9915;3.24;0.4;11.3;5
8755,6.8;0.29;0.16;1.4;0.038;122.5;234.5;0.9922;3.15;0.47;10;4
8756,7.1;0.28;0.26;1.9;0.049;12;86;0.9934;3.15;0.38;9.4;5
8757,6.8;0.25;0.34;14;0.032;47;133;0.9952;3.37;0.5;12.2;7
8758,7;0.57;0.1;8.3;0.094;23;188;0.9972;3.4;0.47;9.2;4
8759,7.1;0.28;0.26;1.9;0.049;12;86;0.9934;3.15;0.38;9.4;5
8760,7.1;0.17;0.38;7.4;0.052;49;182;0.9958;3.35;0.52;9.6;6
8761,7.8;0.28;0.22;1.4;0.056;24;130;0.9944;3.28;0.48;9.5;5
8762,6.8;0.22;0.37;1.7;0.036;38;195;0.9908;3.35;0.72;12.5;6
8763,7.1;0.17;0.38;7.4;0.052;49;182;0.9958;3.35;0.52;9.6;6
8764,6.1;0.14;0.25;1.3;0.047;37;173;0.9925;3.35;0.46;10;6
8765,6.4;0.24;0.5;11.6;0.047;60;211;0.9966;3.18;0.57;9.3;5
8766,7.8;0.42;0.26;9.2;0.058;34;199;0.9972;3.14;0.55;9.3;6
8767,6.6;0.28;0.36;1.7;0.038;22;101;0.9912;3.29;0.57;11.6;6
8768,7.1;0.32;0.34;14.5;0.039;46;150;0.995;3.38;0.5;12.5;8
8769,6.7;0.31;0.3;2.1;0.038;18;130;0.9928;3.36;0.63;10.6;6
8770,6.4;0.32;0.5;10.7;0.047;57;206;0.9968;3.08;0.6;9.4;5
8771,6.1;0.28;0.25;6.9;0.056;44;201;0.9955;3.19;0.4;9.1;6
8772,5.9;0.29;0.25;12;0.057;48;224;0.9981;3.23;0.41;9;6
8773,5.8;0.32;0.38;4.75;0.033;23;94;0.991;3.42;0.42;11.8;7
8774,5.8;0.32;0.38;4.75;0.033;23;94;0.991;3.42;0.42;11.8;7
8775,5.7;0.32;0.38;4.75;0.033;23;94;0.991;3.42;0.42;11.8;7
8776,6.7;0.28;0.14;1.4;0.043;64;159;0.992;3.17;0.39;10;5
